County,State,Population,FIPS,SimilarToAdams,StayAtHomeStart,StayAtHomeStartRef,EmergencyDeclerationStart,EmergencyDeclerationStartRef,StayAtHomeEnd,StayAtHomeEndRef,EmergencyDeclerationEnd,EmergencyDeclerationEndRef,MobilityRetailDiffer,MobilityWorkDiffer,MobilityHomeDiffer
Ashtabula,Ohio,97241,39007,0,3/23/2020,JHU,,,5/29/20,Keystone,,,1,0,0
Burleigh,NorthDakota,95626,38015,0,,JHU,,,,,,,0,0,1
Cape May,NewJersey,92039,34009,0,3/21/2020,JHU,,,6/15/20,Keystone,,,1,1,0
Columbiana,Ohio,101883,39029,0,3/23/2020,JHU,,,5/29/20,Keystone,,,1,0,0
Dallas,Iowa,93453,19049,0,,JHU,,,,,,,0,0,0
Dubuque,Iowa,97311,19061,0,,JHU,,,,,,,0,0,0
Fairbanks North Star,Alaska,96849,2090,0,3/28/2020,JHU,,,4/24/20,Keystone,,,0,0,1
Garland,Arkansas,99386,5051,0,,JHU ,,,,,,,0,0,0
Matanuska-Susitna,Alaska,108317,2170,0,3/28/2020,JHU,,,4/24/20,Keystone,,,1,0,0
Pottawattamie,Iowa,93206,19155,0,,JHU,,,,,,,0,0,0
Rogers,Oklahoma,92459,40131,0,,JHU,,,,,,,0,0,0
Sevier,Tennessee,98250,47155,0,3/31/2020,JHU,3/26/2020,NACo,,,,,1,0,0
Woodbury,Iowa,103107,19193,0,,JHU,3/17/2020,https://www.iowaeconomicdevelopment.com/UserDocs/news/Public_Health_Proclamation_-_2020.03.17.pdf,,,,,0,0,0
Story,Iowa,97117,19169,0,4/2/20,JHU,,,,,,,0,0,0
Adams,Pennsylvania,103009,42001,1,4/1/2020,JHU,3/16/2020,,,,,,0,0,0
Albemarle,Virginia,109330,51003,1,3/30/2020,JHU,3/12/2020,NACo,,,,,0,0,0
Allen,Ohio,102351,39003,1,3/23/2020,JHU,,,,,,,0,0,0
Androscoggin,Maine,108277,23001,1,4/2/2020,JHU,,,6/1/20,Keystone,,,0,0,0
Bartow,Georgia,107738,13015,1,4/3/2020,JHU,3/20/2020,NACo,,,,,0,0,0
Bay,Michigan,103126,26017,1,3/24/2020,JHU,3/17/2020,NACo,6/1/20,Keystone,,,0,0,0
Benton,Oregon,93053,41003,1,3/23/2020,JHU,3/17/2020,NACo,,,,,0,0,0
Bowie,Texas,93245,48037,1,4/2/2020,JHU,3/18/2020,NACo,,,,,0,0,0
Bradley,Tennessee,108110,47011,1,3/31/2020,JHU,3/20/2020,NACo,,,,,0,0,0
Burke,NorthCarolina,90485,37023,1,3/30/2020,JHU,,,,,,,0,0,0
Cabell,WestVirginia,91945,54011,1,3/24/2020,JHU,3/19/2020,NACo,,,,,0,0,0
Calvert,Maryland,92525,24009,1,3/30/2020,JHU,3/17/2020,NACo,,,,,0,0,0
Campbell,Kentucky,93584,21037,1,3/26/2020,JHU,3/13/2020,NACo,,,,,0,0,0
Carver,Minnesota,105089,27019,1,3/27/2020,JHU,,,,,,,0,0,0
Cass,Missouri,105780,29037,1,3/24/2020,JHU,,,,,,,0,0,0
Cecil,Maryland,102855,24015,1,3/30/2020,JHU,,,5/15/20,Keystone,,,0,0,0
Cleveland,NorthCarolina,97947,37045,1,3/30/2020,JHU,,,,,,,0,0,0
Craven,NorthCarolina,102139,37049,1,3/30/2020,JHU,,,,,,,0,0,0
Daviess,Kentucky,101511,21059,1,3/26/2020,JHU,,,,,,,0,0,0
DeKalb,Illinois,104897,17037,1,3/21/2020,JHU,,,5/29/20,Keystone,,,0,0,0
Eau Claire,Wisconsin,104646,55035,1,3/25/2020,JHU,,,,,,,0,0,0
Etowah,Alabama,102268,1055,1,4/4/2020,JHU,3/17/2020,NACo,,,,,0,0,0
Flathead,Montana,103806,30029,1,3/28/2020,JHU,,,,,,,0,0,0
Floyd,Georgia,98498,13115,1,4/3/2020,JHU,,,,,,,0,0,0
Fond du Lac,Wisconsin,103403,55039,1,3/25/2020,JHU,3/13/2020,NACo,,,,,0,0,0
Franklin,Missouri,103967,29071,1,4/6/2020,JHU,,,,,,,0,0,0
Franklin,Washington,95222,53021,1,3/23/2020,JHU,,,,,,,0,0,0
Geauga,Ohio,93649,39055,1,3/23/2020,JHU,,,,,,,0,0,0
Grand Traverse,Michigan,93088,26055,1,3/24/2020,JHU,,,,,,,0,0,0
Grant,Washington,97733,53025,1,3/23/2020,JHU,,,,,,,0,0,0
Hanover,Virginia,107766,51085,1,3/30/2020,JHU,,,6/10/20,Keystone,,,0,0,0
Highlands,Florida,106221,12055,1,4/3/2020,JHU,,,5/4/20,Keystone,,,0,0,0
Houston,Alabama,105882,1069,1,4/4/2020,JHU,,,,,,,0,0,0
Hunt,Texas,98594,48231,1,4/2/2020,JHU,3/23/2020,NAco,,,,,0,0,0
Jefferson,NewYork,109834,36045,1,3/22/2020,JHU,,,,,,,0,0,0
Kankakee,Illinois,109862,17091,1,3/21/2020,JHU,,,5/29/20,Keystone,,,0,0,0
Lafourche,Louisiana,97614,22057,1,3/23/2020,JHU,,,5/15/20,Keystone,,,0,0,0
Lancaster,SouthCarolina,98012,45057,1,4/7/2020,JHU,3/23/2020,NACo,,,,,0,0,0
LaPorte,Indiana,109888,18091,1,3/24/2020,JHU,,,5/4/20,Keystone,,,0,0,0
Laramie,Wyoming,99500,56021,1,3/28/2020,JHU,,,5/27/20,Keystone,,,0,0,0
LaSalle,Illinois,108669,17099,1,3/21/2020,JHU,,,,,,,0,0,0
Lauderdale,Alabama,92729,1077,1,4/4/2020,JHU,,,,,,,0,0,0
Lenawee,Michigan,98451,26091,1,3/24/2020,JHU,,,,,,,0,0,0
Limestone,Alabama,98915,1083,1,4/4/2020,JHU,3/16/2020,NACo,,,,,0,0,0
Macon,Illinois,104009,17115,1,3/21/2020,JHU,,,,,,,0,0,0
Madison,Kentucky,92987,21151,1,3/26/2020,JHU,,,,,,,0,0,0
Madison,Mississippi,106272,28089,1,4/6/2020,JHU,,,4/27/20,Keystone,,,0,0,0
Madison,Tennessee,97984,47113,1,3/31/2020,JHU,3/20/2020,NACo,,,,,0,0,0
Marshall,Alabama,96774,1095,1,4/4/2020,JHU,,,4/30/20,Keystone,,,0,0,0
Maury,Tennessee,96387,47119,1,3/31/2020,JHU,3/25/2020,NACo,,,,,0,0,0
Mercer,Pennsylvania,109424,42085,1,4/1/2020,JHU,,,,,,,0,0,0
Miami,Ohio,106987,39109,1,3/23/2020,JHU,,,5/29/20,Keystone,,,0,0,0
Monongalia,WestVirginia,105612,54061,1,3/24/2020,JHU,,,,,,,0,0,0
Montgomery,Virginia,98535,51121,1,3/30/2020,JHU,,,,,,,0,0,0
Moore,NorthCarolina,100880,37125,1,3/30/2020,JHU,,,,,,,0,0,0
Nash,NorthCarolina,94298,37127,1,3/30/2020,JHU,,,,,,,0,0,0
Nevada,California,99755,6057,1,3/19/2020,JHU,3/4/2020,NACo,,,,,0,0,0
Northumberland,Pennsylvania,90843,42097,1,4/1/2020,JHU,,,,,,,0,0,0
Ontario,NewYork,109777,36069,1,3/22/2020,JHU,,,5/28/20,Keystone,,,0,0,0
Platte,Missouri,104418,29165,1,3/24/2020,JHU,,,,,,,0,0,0
Portsmouth,Virginia,94398,51740,1,3/30/2020,JHU,,,,,,,0,0,0
Putnam,NewYork,98320,36079,1,3/22/2020,JHU,,,5/28/20,Keystone,,,0,0,0
Roanoke City,Virginia,99143,51770,1,3/30/2020,JHU,,,,,,,0,0,0
Roanoke,Virginia,94186,51161,1,3/30/2020,JHU,3/16/2020,NACo,,,,,0,0,0
Rockdale,Georgia,90896,13247,1,4/3/2020,JHU,,,,,,,0,0,0
Rockingham,NorthCarolina,91010,37157,1,3/30/2020,JHU,,,,,,,0,0,0
Rockwall,Texas,104915,48397,1,4/2/2020,JHU,,,,,,,0,0,0
Sherburne,Minnesota,97238,27141,1,3/27/2020,JHU,3/18/2020,NACo,,,,,0,0,0
St. Croix,Wisconsin,90687,55109,1,3/25/2020,JHU,,,,,,,0,0,0
St. Lawrence,NewYork,107740,36089,1,3/22/2020,JHU,,,,,,,0,0,0
Steuben,NewYork,95379,36101,1,3/22/2020,JHU,,,,,,,0,0,0
Suffolk,Virginia,92108,51800,1,3/30/2020,JHU,,,,,,,0,0,0
Sumter,SouthCarolina,106721,45085,1,4/7/2020,JHU,3/17/2020,NACo,,,,,0,0,0
Sutter,California,96971,6101,1,3/19/2020,JHU,3/10/2020,NACo,,,,,0,0,0
Tompkins,NewYork,102180,36109,1,3/22/2020,JHU,3/13/2020,NACo,5/28/2020,Keystone,,,0,0,0
Tuscarawas,Ohio,91987,39157,1,3/23/2020,JHU,,,5/29/2020,Keystone,,,0,0,0
Victoria,Texas,92084,48469,1,4/2/2020,JHU,,,,,,,0,0,0
Vigo,Indiana,107038,18167,1,3/24/2020,JHU,,,,,,,0,0,0
Walton,Georgia,94593,13297,1,4/3/2020,JHU,,,,,,,0,0,0
Walworth,Wisconsin,103868,55127,1,3/25/2020,JHU,,,5/14/2020,Keystone,,,0,0,0
Warren,NewJersey,105267,34041,1,3/21/2020,JHU,,,,,,,0,0,0
Whitfield,Georgia,104628,13313,1,4/3/2020,JHU,3/18/2020,https://www.dailycitizen.news/news/local_news/laughter-declares-state-of-emergency-whitfield-county-buildings-are-closed/article_e02cfd1a-5121-5fa9-8607-af2810fb06bd.html,,,4/6/2020,https://www.dailycitizen.news/news/local_news/laughter-declares-state-of-emergency-whitfield-county-buildings-are-closed/article_e02cfd1a-5121-5fa9-8607-af2810fb06bd.html,0,0,0
Wicomico,Maryland,103609,24045,1,3/30/2020,JHU,3/5/2020,https://governor.maryland.gov/wp-content/uploads/2020/03/Executive-Order-Amending-Large-Gatherings.pdf,,,,,0,0,0
Yamhill,Oregon,107100,41071,1,3/23/2020,JHU,,,,,,,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
